id	audio	n_frames	prompt	tgt_text	with_speech
0_0	what_do_you_like/whatdoyoulike_v3/0.wav	111111	Which city does the man like the most? A. Seattle; B. Boston; C. Chicago.	C	True
0_1	what_do_you_like/whatdoyoulike_v3/0.wav	111111	Which city does the man like the most? A. Miami; B. Chicago; C. Boston.	B	True
0_2	what_do_you_like/whatdoyoulike_v3/0.wav	111111	Which city does the man like the most? A. Miami; B. Boston; C. Seattle.	X	True
0_3	what_do_you_like/whatdoyoulike_v3/0.wav	111111	Which city does the man like the most? A. Boston; B. Seattle; C. none of the above.	C	True
0_4	what_do_you_like/whatdoyoulike_v3/0.wav	111111	Which city does the man like the most? A. Boston; B. Miami; C. none of the above.	C	True
1_0	what_do_you_like/whatdoyoulike_v3/1.wav	111111	What is the man's favorite food? A. steak; B. pizza; C. ramen.	C	True
1_1	what_do_you_like/whatdoyoulike_v3/1.wav	111111	What is the man's favorite food? A. pasta; B. ramen; C. steak.	B	True
1_2	what_do_you_like/whatdoyoulike_v3/1.wav	111111	What is the man's favorite food? A. pizza; B. pasta; C. steak.	X	True
1_3	what_do_you_like/whatdoyoulike_v3/1.wav	111111	What is the man's favorite food? A. steak; B. pizza; C. none of the above.	C	True
1_4	what_do_you_like/whatdoyoulike_v3/1.wav	111111	What is the man's favorite food? A. steak; B. pasta; C. none of the above.	C	True
2_0	what_do_you_like/whatdoyoulike_v3/2.wav	111111	Which city does the man like the most? A. Seattle; B. Chicago; C. Miami.	A	True
2_1	what_do_you_like/whatdoyoulike_v3/2.wav	111111	Which city does the man like the most? A. Seattle; B. Boston; C. Miami.	A	True
2_2	what_do_you_like/whatdoyoulike_v3/2.wav	111111	Which city does the man like the most? A. Miami; B. Boston; C. Chicago.	X	True
2_3	what_do_you_like/whatdoyoulike_v3/2.wav	111111	Which city does the man like the most? A. Miami; B. Chicago; C. none of the above.	C	True
2_4	what_do_you_like/whatdoyoulike_v3/2.wav	111111	Which city does the man like the most? A. Miami; B. Boston; C. none of the above.	C	True
3_0	what_do_you_like/whatdoyoulike_v3/3.wav	111111	Which beverage does the woman like the most? A. tea; B. coffee; C. wine.	C	True
